Item Code,Item Name,Principal,Brand,Transportation Cost
5001111024,May Kha Lar Preserved Special Steamed Plum 70g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
5001111025,May Kha Lar Preserved Dried Plum Seedless Spicy 85g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
5001111026,May Kha Lar Preserved Mango Spicy Wet 80g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
5001111027,May Kha Lar Preserved Golden Papaya 50g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
5001111028,May Kha Lar Preserved Special Marian Spicy 35g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
5001111029,May Kha Lar Preserved Mixed Fruits 60g (1x5x35) on pack,CMP Fruits Garden,May Kha Lar,Ton
5001111020,May Kha Lar Preserved Mixed Fruits 60g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
5001111021,May Kha Lar Preserved Golden Papaya 50g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
5001111013,May Kha Lar Preserved Plum Seedless Sweet Wet 100g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
5001111014,May Kha Lar Preserved Plum Seedless Spicy Wet 100g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
5001111015,May Kha Lar Preserved Mango Spicy Wet 80g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
5001111016,May Kha Lar Preserved Dried Plum Seedless Spicy 85g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
5001111017,May Kha Lar Preserved Special Steamed Plum 70g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
5001111018,May Kha Lar Preserved Special Marian Spicy 35g (1x5x35),CMP Fruits Garden,May Kha Lar,Ton
4800000005,Pai Cheese Ball 10g - MT Pack (1x10x20 packs),Htoo Kaung Myat,Pai Snack,3000
4800000006,Pai Cheese Ring 10g - MT Pack (1x10x20 packs),Htoo Kaung Myat,Pai Snack,3000
4800000003,Pai Cheese Ring 35g - MT Pack (1x10pcsx12packs),Htoo Kaung Myat,Pai Snack,3000
4800000004,Pai Cheese Ball 35g - MT Pack (1x10pcsx12packs),Htoo Kaung Myat,Pai Snack,3000
5600000001,Omi Korean Yam Chips BBQ 30g - MT Pack (1x10pcsx12pack),Omi Snack,Omi,3000
3200000004,May Yee Mon Fish Sauce 50g-MT Pack (1x20packs),Ya Thar Taw Win,May Yee Mon,Ton
3200000005,May Yee Mon Marine Fish Paste 50g-MT Pack (1x20Packs),Ya Thar Taw Win,May Yee Mon,Ton
3200000006,May Yee Mon Rakhine Fish Paste 50g- MT Pack (1x20packs),Ya Thar Taw Win,May Yee Mon,Ton
3200000007,May Yee Mon Tamarind Fish Paste 50g-MT Pack(1x20Packs),Ya Thar Taw Win,May Yee Mon,Ton
4501131005,Excel Care Lime Scale Remover 1000ml (1x15pcs),Glamdust,Excel Care,Ton
4501131006,Excel Care Lime Scale Remover 575ml (1x20pcs),Glamdust,Excel Care,Ton
4501151001,Excel Care Oven Cleaner 1000ml (1x15pcs),Glamdust,Excel Care,Ton
4501151002,Excel Care Oven Cleaner 575ml (1x20 pcs),Glamdust,Excel Care,Ton
4501161001,Excel Care Glass Cleaner 500ml (1x24pcs),Glamdust,Excel Care,Ton
5801111009,Wai Phyo Black Eyed Fried Bean (1x20x20pack),Wai Phyoe Food,Wai Phyoe,Ton
4201111007,Phwer Htwe Pickled Tea Spicy 30g (1x30 Streamer),Constellation,Phwer Htwe,Ton
5700000001,Ah Phwar Lay Paprika Powder 32g FOC,New A1 Family,Ah Phwar Lay,Ton
5701111004,Ah Phwar Lay Chilli Flake 32g (1x20x18pack) with hanger,New A1 Family,Ah Phwar Lay,Ton
5701111005,Ah Phwar Lay Paprika Powder 32g (1x20x18pack) with hanger,New A1 Family,Ah Phwar Lay,Ton
5701111006,Ah Phwar Lay Roasted Chilli Powder 32g (1x20x18pack) with hanger,New A1 Family,Ah Phwar Lay,Ton
5801111001,Wai Phyoe Fried Lab Lab Bean 80g (1x10x20pack),Wai Phyoe Food,Wai Phyoe,Ton
5801111002,Wai Phyoe Assorted Fried Bean 80g (1x10x20pack),Wai Phyoe Food,Wai Phyoe,Ton
5801111003,Wai Phyoe Fried Lab Lab Bean Special 80g (1x10x20pack),Wai Phyoe Food,Wai Phyoe,Ton
5801111004,Wai Phyoe Fried Lab Lab Bean 160g (1x10x10pack),Wai Phyoe Food,Wai Phyoe,Ton
5801111005,Wai Phyoe Assorted Fried Bean 160g (1x10x10pack),Wai Phyoe Food,Wai Phyoe,Ton
5801111006,Wai Phyoe Fried Lab Lab Bean Special 160g (1x10x10pack),Wai Phyoe Food,Wai Phyoe,Ton
5801111007,Wai Phyoe Assorted Fried Bean 400g (1x100pack),Wai Phyoe Food,Wai Phyoe,Ton
5801111008,Wai Phyoe Assorted Fried Bean Special 400g (1x100pack),Wai Phyoe Food,Wai Phyoe,Ton
5701111001,Ah Phwar Lay Chilli Flake 32g (1x20x18pack),New A1 Family,Ah Phwar Lay,Ton
5701111002,Ah Phwar Lay Paprika Powder 32g (1x20x18pack),New A1 Family,Ah Phwar Lay,Ton
5701111003,Ah Phwar Lay Roasted Chilli Powder 32g (1x20x18pack),New A1 Family,Ah Phwar Lay,Ton
3202111004,May Yee Mon Tamarind Fish Paste (1x5x20 packs),Ya Thar Taw Win,May Yee Mon,Ton
4201111006,Phwer Htwe Pickled Tea with Fish Paste (1x30streamers),Constellation,Phwer Htwe,Ton
4901112001,Danuphyu Daw Saw Yee Fish Paste Sauce 473g Pack (1 x 10 packs),Danuphyu Daw Saw Yee,Danuphyu Daw Saw Yee,Ton
4801111003,Pai Cheese Ring 35g (1x10pcsx12packs),Htoo Kaung Myat,Pai Snack,3000
4801111004,Pai Cheese Ball 35g (1x10pcsx12packs),Htoo Kaung Myat,Pai Snack,3000
4501131004,Excel Care Acidic Toilet Cleaner Colorless 575ml (1x24pcs),Glamdust,Excel Care,Ton
5001111012,May Kha Lar Preserved Fruits Special Steamed Plum Spicy 35g (1x5x50),CMP Fruits Garden,May Kha Lar,Ton
5001111010,May Kha Lar Preserved Fruits Dried Plum Seedless Spicy 45g (1x5x50),CMP Fruits Garden,May Kha Lar,Ton
5001111011,May Kha Lar Preserved Fruits Golden Papaya Spicy 35g (1x5x50),CMP Fruits Garden,May Kha Lar,Ton
4501131001,Excel Care Acidic Toilet Cleaner Colorless 1000ml (1x15pcs),Glamdust,Excel Care,Ton
4501131002,Excel Care Acidic Toilet Cleaner Magic Clean 1000ml (1x15pcs),Glamdust,Excel Care,Ton
4501131003,Excel Care Acidic Toilet Cleaner Magic Clean 575ml (1x24pcs),Glamdust,Excel Care,Ton
4501121001,Excel Care Disinfected Surface Cleaner Pine 1100ml (1x10pcs),Glamdust,Excel Care,Ton
4501121002,Excel Care Disinfected Surface Cleaner Levender 1100ml (1x10pcs),Glamdust,Excel Care,Ton
4501141001,Excel Care Floor Cleaner Green Apple 1100ml (1x10pcs),Glamdust,Excel Care,Ton
4201111005,Phwer Htwe Pickled Tea with Fried Bean Spicy 90g (1x5packsx16),Constellation,Phwer Htwe,Ton
5601111001,Omi Korean Yam Chips BBQ 30g (1x10pcsx12pack),Omi Snack,Omi,3000
