PickID,PickDate,Remark,VANCode,TotalWeight,Status,BranchCode,DocEntry,DocNum,CardCode,CardName,ItemCode,Description,Quantity,UoM,ItemWeight,WhsCode,U_DocNum
00120251204055411300,12/5/2025,INS                  Inv;41,VO99039,207.42,C,001,5379476,8379475,C00100476,????????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),20,pcs,0.78,DC-YGN01,00120251204013506653
00120251204031614733,12/5/2025,CPT-CRDC     INV--1     (To NPT WH),VO99008,6.34,C,001,5379465,8379464,C00149913,Capital CRDC WH,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),30,pcs,1.17,DC-YGN01,00120251204012803710
00120251204055303940,12/5/2025,TGG SHOP-29,VO99106,118.32,C,001,5379457,8379456,C00134261,????????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),10,pcs,0.39,DC-YGN01,00120251204011050333
00220251204030419380,12/5/2025,INV(12),VO99016,49.15,C,002,5379540,8379539,C00201174,??????????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),10,pcs,0.39,WH-MDY01,00220251204021729697
01620251204035823093,12/5/2025,"Inv-18, Bago, Thatnatpin, Minywar",VO99082,101.93,C,016,5379546,8379545,C01603842,?????????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),30,pcs,1.17,WH-BGO99,01620251204021744437
00120251204055312437,12/5/2025,HL/KMY                  Inv;21,VO99032,71.52,C,001,5379527,8379526,C00132440,????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),10,pcs,0.39,DC-YGN01,00120251204021135987
00120251204055425190,12/5/2025,S.DGN/SEIKKAN SHOP-26,VO99060,84.41,C,001,5379526,8379525,C00128300,????????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),60,pcs,2.34,DC-YGN01,00120251204021134850
00120251204055425190,12/5/2025,S.DGN/SEIKKAN SHOP-26,VO99060,84.41,C,001,5379526,8379525,C00128300,????????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),10,pcs,0.39,DC-YGN01,00120251204021134850
00120251204055333027,12/5/2025,MYG                Inv;23,VO99035,88.27,C,001,5379525,8379524,C00144371,??????????(?),4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),20,pcs,0.78,DC-YGN01,00120251204021133837
00520251204025447907,12/5/2025,"MMZ ,KS Inv [ 31 ]",VO99028,156.27,C,005,5379495,8379494,C00501675,??????????,4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),120,pcs,4.68,WH-NPT01,00520251204014424150
00220251204030542770,12/5/2025,INV(21),VO99019,74.42,C,002,5379518,8379517,C00214771,?????????? (?),4001111005,Moshi Potato Chips Spicy 38g (1x10x12pcs),30,pcs,1.17,WH-MDY01,00220251204020521433
