Item Code,Item Name,Is Active,Principal,Brand,UOM,Purchase Weight,Transportation Cost
3401111007,Maymyo Fresh Brown 5's 120g (1x120Pack),Active,MayMyo Fresh Coffee,Maymyo Fresh,120,16.28,850
3401111008,Maymyo Fresh Classic 5's 120g (1x120Pack),Active,MayMyo Fresh Coffee,Maymyo Fresh,120,16.28,850
3401111009,Maymyo Fresh Classic Plus 10's 260g (1x40Pack),Active,MayMyo Fresh Coffee,Maymyo Fresh,40,11.44,850
4501111008,Excel Care Dish Washing Liquid Lemon 2Liter (1x6 pcs),Active,Glamdust,Excel Care,6,13.72,850
3200000009,May Yee Mon Chicken Congee 25g (1x20 packs) MT pack,Active,Ya Thar Taw Win,May Yee Mon,20,5.5,850
6001111003,Mr. Shine Liq Detergent Fresh Blossom 35ml (1x24pcsx10packs),Active,Myat HtarNi,Mr. Shine,10,9.2,850
0201112027,Ensure Non-HMB Vanilla 380gm (1x24Pcs),Active,Abbott,Ensure,24,11.92,850
5001121001,May Kha Lar Mango Toffee 125g (1x6pcsx32packs),Active,CMP Fruits Garden,May Kha Lar,192,25,850
5001121002,May Kha Lar Lemon Toffee 125g (1x6pcsx32packs),Active,CMP Fruits Garden,May Kha Lar,192,25,850
5001121003,May Kha Lar Plum with Ginger Toffee 125g (1x6pcsx32packs),Active,CMP Fruits Garden,May Kha Lar,192,25,850
5001121004,May Kha Lar Tamarind Toffee 125g (1x6pcsx32packs),Active,CMP Fruits Garden,May Kha Lar,192,25,850
5001121005,May Kha Lar Mixed Fruit Toffee 125g (1x6pcsx32packs),Active,CMP Fruits Garden,May Kha Lar,192,25,850
3200000008,May Yee Mon Chicken Congee 25g - MT Pack (1x10x20packs),Active,Ya Thar Taw Win,May Yee Mon,200,5.5,850
4000000005,Moshi Potato Chips BBQ Spicy 65g (1x6packs) - MT Pack,Active,Honesty,Moshi,6,3.95,1000
4000000006,Moshi Potato Chips BBQ Original 65g (1x6packs) - MT Pack,Active,Honesty,Moshi,6,3.95,1000
4000000007,Moshi Potato Chips BBQ Prawn 65g (1x6packs) - MT Pack,Active,Honesty,Moshi,6,3.95,1000
4501111007,Excel Care Dish Washing Liquid Lemon 2Liter with Toilet Cleaner 575ml (1x4pcs),Active,Glamdust,Excel Care,4,11.3,850
4501111006,Excel Care Dish Washing Liquid Lemon 2Liter with Toilet Cleaner 575ml (1x5pcs),Active,Glamdust,Excel Care,5,12,850
6001111002,Mr. Shine Liq Detergent Fresh Blossom 35ml (1x24pcsx20packs),Active,Myat HtarNi,Mr. Shine,20,18,850
3202211002,May Yee Mon Chicken Congee 25g (1x10x20packs),Active,Ya Thar Taw Win,May Yee Mon,200,5.5,850
